Timestamp,Total_Host_CPU_%,Total_Host_Mem_MB,Ollama_CPU_%,Ollama_Mem_MB
2026-06-12T05:56:11.076186,707.2,14320.5,0.0,0.0
2026-06-12T05:56:41.179011,739.2,13894.1,0.0,0.0
2026-06-12T05:57:11.281876,633.6,13868.9,0.0,0.0
2026-06-12T05:57:41.385345,147.2,10507.3,0.0,0.0
2026-06-12T05:58:11.487485,123.2,11643.4,0.0,0.0
2026-06-12T05:58:41.589717,857.6,13401.4,0.0,0.0
2026-06-12T05:59:11.696543,622.4,13719.1,0.0,0.0
2026-06-12T05:59:41.798906,667.2,14039.7,0.0,0.0
2026-06-12T06:00:11.901732,587.2,14138.6,0.0,0.0
2026-06-12T06:00:42.004307,814.4,13722.6,0.0,0.0
2026-06-12T06:01:12.107887,1115.2,13742.0,0.0,0.0
2026-06-12T06:01:42.210991,752.0,13767.2,0.0,0.0
2026-06-12T06:02:12.315857,785.6,13842.7,0.0,0.0
2026-06-12T06:02:42.418484,856.0,13895.9,0.0,0.0
2026-06-12T06:03:12.521195,1288.0,14049.7,0.0,0.0
2026-06-12T06:03:42.624664,1200.0,13808.8,0.0,0.0
2026-06-12T06:04:12.729619,1286.4,14019.0,0.0,0.0
2026-06-12T06:04:42.833110,912.0,14292.9,0.0,0.0
2026-06-12T06:05:12.936872,705.6,14339.3,0.0,0.0
2026-06-12T06:05:43.040236,590.4,14356.1,0.0,0.0
2026-06-12T06:06:13.142978,667.2,14400.9,0.0,0.0
2026-06-12T06:06:43.245541,678.4,14409.6,0.0,0.0
2026-06-12T06:07:13.348200,728.0,14253.2,0.0,0.0
2026-06-12T06:07:43.450971,777.6,14335.5,0.0,0.0
2026-06-12T06:08:13.553593,646.4,14425.6,0.0,0.0
2026-06-12T06:08:43.656371,688.0,14462.3,0.0,0.0
2026-06-12T06:09:13.758550,676.8,14481.0,0.0,0.0
2026-06-12T06:09:43.861326,614.4,14522.7,0.0,0.0
2026-06-12T06:10:13.964595,656.0,14533.1,0.0,0.0
2026-06-12T06:10:44.067022,680.0,14578.2,0.0,0.0
2026-06-12T06:11:14.169085,744.0,14622.3,0.0,0.0
