Timestamp,Total_Host_CPU_%,Total_Host_Mem_MB,Ollama_CPU_%,Ollama_Mem_MB
2026-06-10T19:06:32.697695,206.4,13344.3,0.0,0.0
2026-06-10T19:07:02.799808,235.2,13413.7,0.0,0.0
2026-06-10T19:07:32.901712,112.0,13378.9,0.0,0.0
2026-06-10T19:08:03.004146,52.8,13584.4,0.0,0.0
2026-06-10T19:08:33.106121,35.2,13159.3,0.0,0.0
2026-06-10T19:09:03.209271,110.4,13205.3,0.0,0.0
2026-06-10T19:09:33.312304,16.0,13073.7,0.0,0.0
2026-06-10T19:10:03.414481,84.8,13072.4,0.0,0.0
2026-06-10T19:10:33.516707,16.0,13218.9,0.0,0.0
2026-06-10T19:11:03.619645,145.6,13381.5,0.0,0.0
2026-06-10T19:11:33.722045,201.6,13352.9,0.0,0.0
2026-06-10T19:12:03.824491,64.0,13370.5,0.0,0.0
2026-06-10T19:12:33.926251,299.2,13360.2,0.0,0.0
2026-06-10T19:13:04.028378,273.6,13446.7,0.0,0.0
2026-06-10T19:13:34.130659,193.6,12606.1,0.0,0.0
2026-06-10T19:14:04.232562,190.4,12692.7,0.0,0.0
2026-06-10T19:14:34.334679,126.4,12749.9,0.0,0.0
2026-06-10T19:15:04.436397,171.2,12803.4,0.0,0.0
2026-06-10T19:15:34.538230,334.4,12786.3,0.0,0.0
2026-06-10T19:16:04.639925,148.8,12905.6,0.0,0.0
2026-06-10T19:16:34.741300,124.8,12866.7,0.0,0.0
2026-06-10T19:17:04.842820,40.0,12895.9,0.0,0.0
2026-06-10T19:17:34.945486,17.6,12813.8,0.0,0.0
2026-06-10T19:18:05.048255,222.4,12877.9,0.0,0.0
2026-06-10T19:18:35.150413,144.0,12580.8,0.0,0.0
2026-06-10T19:19:05.253244,43.2,12584.3,0.0,0.0
2026-06-10T19:19:35.356062,84.8,12556.2,0.0,0.0
2026-06-10T19:20:05.457812,44.8,12630.8,0.0,0.0
2026-06-10T19:20:35.560359,16.0,12645.4,0.0,0.0
2026-06-10T19:21:05.662514,0.0,12700.7,0.0,0.0
2026-06-10T19:21:35.764040,84.8,12672.6,0.0,0.0
2026-06-10T19:22:05.865577,19.2,12710.3,0.0,0.0
2026-06-10T19:22:35.968757,14.4,12686.7,0.0,0.0
