timestamp,graph_nodes,graph_edges,insertion_time_nodes,insertion_time_edges
2026-06-10T17:19:50.395214,35799,126723,29,159
2026-06-10T17:20:10.290404,35800,126729,4,0
2026-06-10T17:20:30.453012,35800,126729,6,90
2026-06-10T17:20:50.333398,35800,126729,4,0
2026-06-10T17:21:13.449649,35801,126738,19,122
2026-06-10T17:21:33.470405,35801,126742,4,58
2026-06-10T17:21:53.494197,35802,126742,6,59
2026-06-10T17:22:16.615789,35803,126744,28,151
2026-06-10T17:22:36.478209,35803,126749,5,0
2026-06-10T17:22:56.488407,35803,126749,5,0
2026-06-10T17:23:20.068057,35804,126749,47,258
2026-06-10T17:23:40.076505,35805,126774,5,180
2026-06-10T17:23:59.913150,35806,126782,5,60
2026-06-10T17:24:19.892901,35807,126784,5,35
2026-06-10T17:24:43.175142,35808,126785,25,152
2026-06-10T17:25:03.273396,35809,126790,6,152
2026-06-10T17:25:26.300340,35810,126794,19,100
2026-06-10T17:25:49.544891,35811,126797,27,153
2026-06-10T17:26:09.562390,35811,126807,5,81
2026-06-10T17:26:29.605023,35812,126807,6,92
2026-06-10T17:26:53.527898,35813,126810,133,826
2026-06-10T17:27:12.703998,35814,126835,7,129
2026-06-10T17:27:35.988261,35815,126839,40,252
2026-06-10T17:27:59.407689,35818,126847,62,332
2026-06-10T17:28:19.256377,35819,126857,5,145
2026-06-10T17:28:39.078209,35820,126861,4,0
2026-06-10T17:29:02.539176,35821,126861,26,158
2026-06-10T17:29:25.606218,35822,126933,15,92
2026-06-10T17:29:45.620494,35823,126936,5,60
2026-06-10T17:30:05.569749,35823,126938,4,0
2026-06-10T17:30:25.566949,35823,126938,4,0
2026-06-10T17:30:49.036454,35824,126938,25,154
2026-06-10T17:31:12.392748,35825,126943,22,121
2026-06-10T17:31:35.771953,35826,126971,43,261
2026-06-10T17:31:55.692848,35826,126979,5,110
2026-06-10T17:32:15.672822,35826,126979,6,80
2026-06-10T17:32:35.972488,35827,126979,5,218
2026-06-10T17:32:55.588887,35828,126986,4,0
2026-06-10T17:33:19.065629,35829,126986,24,154
2026-06-10T17:33:42.140379,35830,126991,14,60
2026-06-10T17:34:05.302551,35831,126993,24,165
2026-06-10T17:34:30.626554,35832,127017,289,1724
2026-06-10T17:34:51.868732,35833,127066,14,94
2026-06-10T17:35:11.985738,35833,127069,5,87
2026-06-10T17:35:31.840285,35833,127069,5,0
2026-06-10T17:35:52.096997,35834,127069,6,119
2026-06-10T17:36:15.588901,35835,127073,14,96
2026-06-10T17:36:35.577497,35835,127076,5,28
2026-06-10T17:36:55.731832,35836,127151,5,98
2026-06-10T17:37:15.604972,35837,127154,5,0
2026-06-10T17:37:35.729967,35838,127154,6,98
2026-06-10T17:37:55.852112,35839,127157,5,179
2026-06-10T17:38:19.094113,35840,127162,29,204
2026-06-10T17:38:42.462311,35841,127178,35,185
2026-06-10T17:39:02.350652,35842,127184,6,28
2026-06-10T17:39:22.301682,35842,127185,4,1
2026-06-10T17:39:42.315857,35842,127185,4,0
2026-06-10T17:40:02.435580,35842,127185,5,84
2026-06-10T17:40:22.527038,35843,127185,6,101
2026-06-10T17:40:42.467825,35844,127188,6,96
2026-06-10T17:41:02.440073,35845,127191,4,31
2026-06-10T17:41:22.446965,35845,127205,5,27
2026-06-10T17:41:42.426814,35845,127205,4,0
2026-06-10T17:42:02.525869,35846,127205,5,59
2026-06-10T17:42:25.891995,35847,127207,16,93
2026-06-10T17:42:45.889408,35847,127210,5,28
2026-06-10T17:43:09.150287,35848,127210,24,165
2026-06-10T17:43:29.082598,35848,127214,4,31
